species,lease_area,month,buffer_size,density
Atlantic_spotted_dolphin,"OCS-A 0499 - Atlantic Shores Offshore Wind Projects 1 & 2, LLC's",3,100000,0.031517588
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,3,0,0.00031616128
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,3,10000,0.00047429712
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,3,50000,0.00073240267
Atlantic_spotted_dolphin,OCS-A 0500 - Bay State Wind LLC,3,100000,0.050794274
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,3,0,0.00014088141
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,3,10000,0.00019256526
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,3,50000,0.0005341537
Atlantic_spotted_dolphin,OCS-A 0501 - Vineyard Wind LLC,3,100000,0.0011748064
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,3,0,1.0569831
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,3,10000,1.0176597
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,3,50000,2.0997853
Atlantic_spotted_dolphin,OCS-A 0508 - Avangrid Renewables LLC,3,100000,3.594705
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",3,0,0.00048804117
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",3,10000,0.00079545873
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",3,50000,0.0024827786
Atlantic_spotted_dolphin,"OCS-A 0512  -  Empire Offshore Wind, LLC",3,100000,0.004457929
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",3,0,6.530809e-05
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",3,10000,8.805719e-05
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",3,50000,0.0003001435
Atlantic_spotted_dolphin,"OCS-A 0517 - South Fork Wind, LLC",3,100000,0.0007686494
Atlantic_spotted_dolphin,OCS-A 0519 - Skipjack Offshore Energy LLC,3,0,0.0018443031
